track_id:0
687.00,986.88,1045.00,192.80,0.61
687.25,987.50,952.50,194.39,0.60
687.75,987.12,836.50,196.05,0.24
687.75,987.00,865.00,190.93,0.54
688.00,987.00,862.00,191.14,0.48
687.62,987.00,836.00,194.66,0.34
687.50,987.00,845.50,194.23,0.39
687.88,987.00,845.00,189.48,0.48
687.50,986.88,896.00,193.82,0.45
687.88,987.12,880.50,192.04,0.44
688.38,986.62,872.00,195.86,0.24
688.75,987.25,845.50,194.29,0.44
688.50,987.25,854.00,197.02,0.00
688.75,986.88,838.00,194.41,0.40
688.88,987.00,849.50,192.03,0.33
688.62,987.00,862.50,194.01,0.51
688.38,986.88,759.00,191.65,0.41
688.38,986.62,766.50,197.39,0.45
688.38,986.12,839.00,197.18,0.41
688.00,986.38,844.00,195.22,0.34
688.12,986.25,882.50,193.52,0.59
688.25,986.25,896.00,189.53,0.71
688.25,986.38,830.00,194.05,0.79
688.62,986.25,987.00,190.70,0.81
688.00,986.50,993.50,191.64,0.79
687.50,986.38,1102.00,192.85,0.85
687.12,986.00,1000.00,192.58,0.79
688.12,985.75,1040.50,191.23,0.85
687.88,985.88,1144.00,188.14,0.87
687.50,985.62,1052.50,186.98,0.85
track_id:1
879.88,986.12,1098.00,191.20,0.23
879.88,986.12,970.50,188.96,0.33
880.88,985.12,873.00,193.78,0.48
881.00,983.88,1083.00,195.66,0.52
881.12,984.00,836.00,193.68,0.40
881.50,982.88,841.50,197.24,0.35
880.00,985.75,892.00,191.62,0.40
879.88,987.38,923.00,196.83,0.60
879.12,988.38,875.50,194.16,0.56
879.38,988.38,788.50,195.50,0.25
880.00,988.12,883.00,192.50,0.54
880.25,989.00,809.50,191.72,0.44
880.62,988.50,842.00,196.69,0.41
879.88,989.25,681.50,190.48,0.49
880.12,989.12,644.00,190.51,0.49
879.25,990.50,884.50,198.04,0.33
879.25,990.12,858.50,197.50,0.51
880.25,989.88,808.00,192.12,0.41
879.88,990.25,895.50,193.33,0.20
879.62,991.00,944.50,194.24,0.37
880.12,991.25,731.00,188.27,0.42
880.12,990.50,753.00,196.22,0.00
880.25,990.88,672.00,191.14,0.50
880.62,990.75,807.50,192.64,0.22
880.00,989.88,660.50,191.87,0.36
880.25,989.50,744.50,191.39,0.53
880.00,988.88,425.50,168.02,0.00
880.12,988.12,688.50,183.21,0.59
881.12,988.25,841.00,196.65,0.00
880.88,987.62,798.00,192.55,0.34
track_id:2
29.38,986.50,1222.50,192.77,0.32
29.25,987.12,1140.50,191.69,0.53
29.62,987.00,1012.50,189.05,0.42
30.25,986.62,1081.00,193.35,0.60
30.38,987.25,1000.50,194.09,0.49
29.88,987.12,979.50,194.17,0.38
29.75,987.25,990.00,193.65,0.28
30.25,986.75,975.00,192.51,0.33
30.38,987.12,1024.00,196.27,0.59
30.25,987.38,1067.00,193.83,0.67
30.88,986.75,1024.00,193.68,0.71
31.25,987.00,1000.50,195.72,0.54
31.12,987.12,933.50,197.58,0.24
31.88,986.62,981.00,194.14,0.39
31.75,987.38,972.50,192.38,0.50
31.38,987.00,975.00,192.61,0.63
31.25,986.62,1014.50,195.79,0.60
32.00,986.38,993.00,192.47,0.27
31.00,986.38,999.00,193.38,0.46
30.50,986.62,951.50,190.51,0.73
31.00,986.88,910.00,191.92,0.28
31.00,986.50,939.50,194.20,0.56
30.75,986.38,1026.00,190.55,0.69
30.88,986.88,1028.00,193.05,0.67
31.00,987.00,967.00,190.43,0.72
30.75,987.75,1296.50,187.75,0.89
30.50,986.62,1198.50,187.93,0.85
30.12,987.25,1356.50,183.77,0.92
31.38,986.62,1153.00,185.42,0.85
30.38,986.62,1191.50,188.59,0.83
track_id:3
54.38,985.38,1401.00,188.21,0.74
54.25,986.00,1211.00,187.56,0.81
54.50,985.38,956.00,193.49,0.48
55.12,986.12,987.00,192.92,0.28
55.50,985.12,987.50,194.93,0.18
54.50,985.88,934.50,193.40,0.55
54.00,985.00,901.00,194.82,0.47
54.88,985.25,977.00,197.06,0.49
